gender,event,time.clock,time.sec
﻿M,50 FREE,20.91,20.91
M,100 FREE,46.91,46.91
M,200 FREE,1:42.00,102
M,400 FREE,3:40.07,220.07
M,800 FREE,7:32.12,452.12
M,1500 FREE,14:31.02,871.02
M,50 BACK,24.04,24.04
M,100 BACK,51.94,51.94
M,200 BACK,1:51.92,111.92
M,50 BREAST,26.62,26.62
M,100 BREAST,58.46,58.46
M,200 BREAST,2:07.01,127.01
M,50 FLY,22.43,22.43
M,100 FLY,49.82,49.82
M,200 FLY,1:51.51,111.51
M,200 MEDLEY,1:54.00,114
M,400 MEDLEY,4:03.84,243.84
F,50 FREE,23.73,23.73
F,100 FREE,52.07,52.07
F,200 FREE,1:52.98,112.98
F,400 FREE,3:58.86,238.86
F,800 FREE,8:11.00,491
F,1500 FREE,15:34.23,934.23
F,50 BACK,27.06,27.06
F,100 BACK,58.12,58.12
F,200 BACK,2:04.06,124.06
F,50 BREAST,29.48,29.48
F,100 BREAST,1:04.35,64.35
F,200 BREAST,2:19.11,139.11
F,50 FLY,25.07,25.07
F,100 FLY,55.98,55.98
F,200 FLY,2:01.81,121.81
F,200 MEDLEY,2:06.15,126.15
F,400 MEDLEY,4:28.43,268.43
M,50 FREE,18.2,18.2
M,100 FREE,40.46,40.46
M,200 FREE,1.30.46,90.46
M,500 FREE,4.08.54,248.54
M,1000 FREE,8.33.93,513.93
M,1500 FREE,14.23.52,743.52
M,50 BACK,24.04,24.04
M,100 BACK,43.49,43.49
M,200 BACK,1.35.73,95.73
M,50 BREAST,26.62,26.62
M,100 BREAST,50.04,50.04
M,200 BREAST,1.48.12,108.12
M,50 FLY,22.43,22.43
M,100 FLY,43.84,43.84
M,200 FLY,1.37.97,97.97
M,200 MEDLEY,1.39.38,98.38
M,400 MEDLEY,3.34.50,214.5
F,50 FREE,21.12,21.12
F,100 FREE,46.09,46.09
F,200 FREE,1.39.10,99.1
F,500 FREE,4.25.15,285.15
F,1000 FREE,8.59.65,529.65
F,1500 FREE,15.03.92,903.92
F,50 BACK,27.06,27.06
F,100 BACK,49.69,49.69
F,200 BACK,1.47.84,107.84
F,50 BREAST,29.48,29.48
F,100 BREAST,56.3,56.3
F,200 BREAST,2.03.59,123.59
F,50 FLY,25.07,25.07
F,100 FLY,49.43,49.43
F,200 FLY,1.49.92,109.92
F,200 MEDLEY,1.51.65,111.65
F,400 MEDLEY,3.56.54,236.54
