event,time.clock,time.sec
50 L Free,20.91,20.91
100 L Free,46.91,46.91
200 L Free,1:42.00,102
400 L Free,3:40.07,220.07
800 L Free,7:32.12,452.12
1500 L Free,14:31.02,871.02
50 L Back,24.04,24.04
100 L Back,51.94,51.94
200 L Back,1:51.92,111.92
50 L Breast,26.62,26.62
100 L Breast,58.46,58.46
200 L Breast,2:07.01,127.01
50 L Fly,22.43,22.43
100 L Fly,49.82,49.82
200 L Fly,1:51.51,111.51
200 L IM,1:54.00,114
400 L IM,4:03.84,243.84
50 Y Free,18.2,18.2
100 Y Free,40.46,40.46
200 Y Free,1.30.46,90.46
500 Y Free,4.08.54,248.54
1000 Y Free,8.33.93,513.93
1500 Y Free,14.23.52,743.52
50 Y Back,24.04,24.04
100 Y Back,43.49,43.49
200 Y Back,1.35.73,95.73
50 Y Breast,26.62,26.62
100 Y Breast,50.04,50.04
200 Y Breast,1.48.12,108.12
50 Y Fly,22.43,22.43
100 Y Fly,43.84,43.84
200 Y Fly,1.37.97,97.97
200 Y IM,1.39.38,98.38
400 Y IM,3.34.50,214.5
